t_s,battery_c,thermal_status,q,cpu_ms_hkaudio,cpu_ms_gl,cpu_ms_prefetch,cpu_ms_voicer,cpu_ms_main,fps,late_frames,underruns,headroom_min,majflt,brightness,movement,position_ms,plan
1752,24.0,0,0,851420,202070,14950,80,71550,30.0,47,0,5065,0,-1.00,none,9456,therm30
1762,24.0,0,0,856200,203580,15020,80,72000,30.0,47,0,-910,0,-1.00,none,19475,therm30
1772,24.0,0,0,861060,205070,15090,80,72440,30.0,47,0,5119,0,-1.00,none,29493,therm30
1782,24.0,0,0,865540,206630,15160,80,72890,30.0,47,0,5113,0,-1.00,none,39513,therm30
1792,24.0,0,0,870490,208140,15250,80,73350,30.0,47,0,5100,0,-1.00,none,49529,therm30
1802,24.0,0,0,875510,209620,15330,80,73780,30.0,47,0,5100,0,-1.00,none,59541,therm30
1812,24.0,0,0,879870,211230,15380,80,74230,30.0,48,0,5106,0,-1.00,none,69558,therm30
1822,24.0,0,0,884840,212740,15450,80,74670,30.0,48,0,5120,0,-1.00,none,79576,therm30
1832,24.0,0,0,889410,214370,15520,80,75120,30.0,49,0,5121,0,-1.00,none,89596,therm30
1842,24.0,0,0,893520,216010,15580,80,75580,30.0,49,0,5086,0,-1.00,none,99611,therm30
1852,24.0,0,0,898130,217490,15650,80,76010,30.0,49,0,5116,0,-1.00,none,109623,therm30
1862,24.0,0,0,904130,218710,15760,80,76380,30.0,50,0,5130,0,-1.00,none,119644,therm30
1872,24.0,0,0,908360,220400,15830,80,76830,30.0,50,0,5115,0,-1.00,none,129663,therm30
1882,24.0,0,0,912860,221990,15910,80,77280,30.0,50,0,5117,0,-1.00,none,139682,therm30
